"Table 5: All Claimants and those aged 16 to 24 by Local Authority, August 2017 to 2022 (non-seasonally adjusted)",,,,,,,,,,,,
Back to Contents,,,,,,,,,,,,
This worksheet contains one table with brief notes beneath. The Guidance worksheet contains further information on interpretation.,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"DWP Stat-Xplore, Alternative Claimant Count",,,,,,,,,,,,
,All ages,,,,,,Ages 16 to 24,,,,,
Local Authority,Aug-17,Aug-18,Aug-19,Aug-20,Aug-21,Aug-22, Aug-17, Aug-18, Aug-19, Aug-20, Aug-21, Aug-22
Argyll and Bute,1401,1343,1405,3181,1974,1272,206,183,212,608,328,189
City of Edinburgh,7624,7236,7201,19099,13621,8234,1001,889,1004,3165,1986,1065
Clackmannanshire,1444,1382,1340,2266,1513,1088,307,303,328,538,332,223
Dumfries and Galloway,2608,2451,2806,5045,3379,2236,450,425,496,1009,545,360
Dundee City,4660,4739,4523,7446,5835,3974,1045,984,973,1686,1229,819
East Ayrshire,3636,3820,3704,6230,4524,2915,726,761,769,1323,881,572
East Dunbartonshire,1302,1233,1188,2944,1799,1141,242,223,241,619,320,191
East Lothian,1686,1717,1593,3616,2447,1367,304,308,280,729,457,240
East Renfrewshire,1052,1057,1021,2424,1452,893,204,185,187,541,262,141
Falkirk,3441,3458,3221,6323,4313,2811,667,678,666,1277,876,568
Fife,9106,9399,8851,15966,11663,7669,1867,1950,1814,3401,2302,1430
Glasgow City,20148,19633,20300,38319,28533,19607,3245,2850,3329,6880,4689,3048
Highland,3539,3406,3119,8020,4632,2979,573,602,537,1566,764,468
Inverclyde,2327,2311,2097,3198,2356,1655,443,511,486,700,462,328
Midlothian,1451,1482,1373,3104,2126,1188,275,291,289,667,419,231
Moray,1564,1573,1561,3035,2123,1272,309,344,322,628,398,224
Na h-Eileanan Siar,415,356,340,872,482,317,55,44,36,141,67,37
North Ayrshire,4552,4598,4555,7202,4853,3426,918,940,937,1585,962,693
North Lanarkshire,8890,8695,8113,15626,10417,6929,1646,1622,1588,3288,1979,1303
Orkney Islands,204,176,172,393,242,193,33,26,30,77,42,39
Perth and Kinross,1837,1726,1822,4622,3123,2028,351,307,351,946,572,312
Renfrewshire,4242,4185,3956,7594,4983,3369,720,652,749,1521,907,656
Scottish Borders,1820,1862,1881,3911,2771,1907,340,382,371,855,544,318
Shetland Islands,198,216,207,515,286,231,32,45,39,111,57,53
South Ayrshire,2593,2647,2724,5012,3410,2279,511,501,546,1054,612,411
South Lanarkshire,6515,6741,6536,13410,9106,5785,1252,1287,1279,2656,1655,1010
Stirling,1405,1535,1433,3106,1854,1289,286,318,284,661,365,258
West Dunbartonshire,2757,2744,2730,4828,3219,2131,494,416,489,935,626,422
West Lothian,3343,3178,3352,7072,4722,3034,678,595,682,1526,973,592
Antrim and Newtownabbey,2546,2359,2096,4170,3075,2107,469,434,362,941,610,348
Ards and North Down,3189,3029,2658,4959,3791,2653,562,521,416,1035,726,492
"Armagh City, Banbridge and Craigavon",3938,3352,3112,6689,4843,3449,661,545,511,1384,800,501
Belfast,9902,8827,7649,15048,12159,8705,1813,1496,1305,3093,2235,1344
Causeway Coast and Glens,3697,3168,2714,5212,3588,2681,656,538,455,1200,672,447
Derry City and Strabane,6158,5343,4717,7405,5788,4466,1247,1074,851,1717,1171,806
Fermanagh and Omagh,2417,2072,1887,3381,2385,1735,405,299,301,711,404,243
Lisburn and Castlereagh,1958,1842,1682,3642,2669,1854,351,294,241,795,466,246
Mid and East Antrim,2770,2702,2391,4250,3496,2512,535,444,429,871,626,397
Mid Ulster,2422,2238,1957,4486,3125,2158,376,320,305,916,518,320
"Newry, Mourne and Down",3916,3424,2995,6750,4665,3300,686,511,492,1503,792,457
