"Table 5: All Claimants and those aged 16 to 24 by Local Authority, August 2017 to 2022 (non-seasonally adjusted)",,,,,,,,,,,,
Back to Contents,,,,,,,,,,,,
This worksheet contains one table with brief notes beneath. The Guidance worksheet contains further information on interpretation.,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"DWP Stat-Xplore, Alternative Claimant Count",,,,,,,,,,,,
,All ages,,,,,,Ages 16 to 24,,,,,
Local Authority,Aug-17,Aug-18,Aug-19,Aug-20,Aug-21,Aug-22, Aug-17, Aug-18, Aug-19, Aug-20, Aug-21, Aug-22
North Northamptonshire,5378,5502,5614,12612,8588,5819,872,851,972,2310,1440,995
Nottingham,11166,10782,10808,18546,15542,11183,1838,1642,1858,3578,2770,1879
Rutland,303,290,288,818,551,310,47,39,36,140,62,35
West Northamptonshire,5844,5839,6055,14824,10851,7642,783,746,901,2656,1683,1191
Amber Valley,1685,1720,1764,3857,2588,1779,299,292,326,768,461,296
Bolsover,1401,1340,1322,2634,1904,1339,246,219,244,534,329,241
Chesterfield,2122,2048,2026,3841,2867,1897,445,410,429,844,550,426
Derbyshire Dales,532,560,619,1543,959,651,59,58,87,315,124,69
Erewash,1958,2098,2005,4043,2774,1920,368,389,406,874,523,339
High Peak,1102,1164,1130,2772,1818,1252,167,157,182,525,297,224
North East Derbyshire,1459,1420,1375,2816,2035,1357,227,218,241,526,356,218
South Derbyshire,959,1036,1145,2857,1947,1286,179,165,173,546,319,216
Blaby,831,834,925,2728,1707,1066,115,127,159,561,315,182
Charnwood,1788,1810,2024,4887,3263,2187,263,255,358,994,617,425
Harborough,575,645,700,2166,1235,858,78,86,99,410,197,111
Hinckley and Bosworth,1167,1258,1400,3140,2158,1427,174,220,235,602,360,225
Melton,606,692,609,1322,921,638,113,128,100,243,140,106
North West Leicestershire,1034,1072,1108,2810,1788,1145,136,169,179,552,316,167
Oadby and Wigston,576,543,574,1679,1178,744,72,91,83,303,217,120
Boston,1178,1145,1196,2680,2307,1599,215,187,232,511,350,234
East Lindsey,2676,2722,2727,5388,3283,2024,381,410,427,954,518,303
Lincoln,2493,2429,2577,4567,3544,2488,447,458,481,977,614,489
North Kesteven,1193,1120,1216,2854,1979,1239,240,198,257,642,402,202
South Holland,1285,1202,1251,2936,2237,1394,225,179,210,568,397,200
South Kesteven,1859,1981,2018,4471,3064,1994,304,347,378,897,528,354
